age,sex,nationality,current_status
-0.1404127914634536,0,10,0
0.16758384947459232,1,10,1
0.9889082253093814,0,10,0
0.37291494343328957,1,15,0
1.09157377228873,1,15,1
0.9375754518197071,0,15,1
-0.1404127914634536,1,43,0
-0.4484094324014995,1,15,0
2.323560336040914,1,0,1
0.8349099048403584,1,15,0
1.6049015071854733,1,15,0
0.7835771313506842,1,15,1
-0.3457438854221509,1,15,0
0.27024939645394097,1,15,0
-0.8590716203188941,1,15,0
1.5022359602061246,1,15,0
1.4509031867164504,0,15,0
0.013585529005569358,1,15,0
0.27024939645394097,0,15,0
0.37291494343328957,1,15,0
0.8862426783300328,0,15,0
0.5269132639023125,0,15,0
-0.5510749793808482,0,15,0
0.5782460373919869,1,15,0
-0.49974220589117385,1,15,0
-0.3457438854221509,1,15,0
0.06491830249524368,1,15,0
1.4509031867164504,1,15,0
2.1182292420822164,0,15,1
1.4509031867164504,0,15,0
-0.6537405263601967,0,15,0
1.1942393192680787,1,15,0
0.9889082253093814,1,15,0
1.6049015071854733,1,15,0
1.3482376397371016,0,15,1
0.6295788108816612,1,15,0
2.4262258830202623,0,15,1
-0.6024077528705225,1,15,0
1.1942393192680787,1,15,1
0.6809115843713355,1,15,1
1.7588998276544963,0,15,0
0.5269132639023125,1,15,0
0.32158216994361527,1,15,0
1.5022359602061246,0,15,0
-0.7050732998498711,1,15,0
1.2969048662474274,1,15,0
0.6295788108816612,1,15,0
0.8349099048403584,1,15,0
1.6049015071854733,1,15,0
1.4509031867164504,0,15,0
-0.7564060733395455,1,15,0
1.9642309216131935,0,15,1
-0.5510749793808482,1,15,0
-0.08908001797377928,1,15,1
0.9375754518197071,0,15,0
0.013585529005569358,1,15,0
1.245572092757753,1,15,1
0.21891662296426664,0,15,0
-0.7050732998498711,1,15,0
0.11625107598491799,1,15,0
1.5022359602061246,0,15,0
-0.29441111193247654,0,15,0
-0.3970766589118252,1,15,0
-0.4484094324014995,1,15,0
1.5022359602061246,1,15,0
-0.8077388468292197,1,15,0
-0.9104043938085684,0,15,0
-0.4484094324014995,1,15,0
-0.6537405263601967,0,15,0
-0.29441111193247654,1,15,0
0.9375754518197071,1,15,0
0.013585529005569358,1,15,0
0.6809115843713355,1,15,0
0.4242477169229639,1,15,0
1.1942393192680787,1,15,0
0.9375754518197071,1,15,0
0.9889082253093814,1,15,0
1.1429065457784044,0,15,0
1.399570413226776,1,15,1
0.5782460373919869,1,15,0
-0.8077388468292197,0,15,0
1.2969048662474274,1,15,0
0.27024939645394097,1,15,0
0.27024939645394097,1,15,0
0.37291494343328957,1,15,0
0.37291494343328957,1,15,0
1.8102326011441705,0,15,0
-0.3970766589118252,1,15,0
1.3482376397371016,1,15,1
1.2969048662474274,0,15,0
-0.7050732998498711,0,15,0
0.9375754518197071,1,15,0
0.32158216994361527,1,15,0
0.4242477169229639,1,15,0
1.1942393192680787,0,15,0
-0.08908001797377928,1,15,0
1.4509031867164504,1,15,0
0.4755804904126382,1,15,0
-0.3970766589118252,1,15,0
-0.5510749793808482,1,15,0
0.7322443578610098,1,15,0
0.7322443578610098,1,15,0
-0.49974220589117385,1,15,0
1.09157377228873,1,15,0
-0.1404127914634536,1,15,0
1.7588998276544963,0,15,0
0.8349099048403584,0,15,0
-0.1404127914634536,1,15,0
0.16758384947459232,1,15,0
-0.7050732998498711,0,44,0
0.16758384947459232,1,15,0
0.013585529005569358,1,15,0
-0.49974220589117385,0,15,0
-0.29441111193247654,1,15,0
1.2969048662474274,1,44,0
1.5022359602061246,0,15,0
1.399570413226776,1,15,0
0.9889082253093814,1,15,0
0.8862426783300328,1,15,0
-0.6024077528705225,0,15,0
-0.19174556495312792,1,15,0
0.013585529005569358,1,15,0
0.7322443578610098,1,15,0
1.245572092757753,1,15,1
-0.24307833844280224,1,15,0
1.8102326011441705,1,15,1
-0.8590716203188941,1,15,0
-0.8077388468292197,0,15,0
1.3482376397371016,1,15,1
-1.0130699407879171,1,15,0
-0.6024077528705225,0,15,0
1.4509031867164504,1,15,0
-0.7050732998498711,1,15,0
0.32158216994361527,0,15,0
-1.4237321287053115,0,15,0
0.37291494343328957,1,15,0
-0.7050732998498711,0,15,0
0.9375754518197071,1,15,0
0.16758384947459232,0,15,0
0.32158216994361527,0,15,0
1.1429065457784044,1,15,0
0.4755804904126382,1,15,0
1.6562342806751476,1,15,0
1.7075670541648218,0,15,0
-0.4484094324014995,1,15,0
0.5782460373919869,1,15,0
1.5022359602061246,0,15,0
0.6809115843713355,1,15,0
1.0402409987990557,0,15,1
0.8349099048403584,0,15,0
1.9128981481235192,0,15,0
-0.037747244484104964,1,15,0
-0.3457438854221509,0,15,0
-0.7050732998498711,0,15,0
0.37291494343328957,1,15,0
0.8349099048403584,0,15,0
1.2969048662474274,0,15,0
0.37291494343328957,1,15,0
0.4755804904126382,1,15,0
2.323560336040914,0,15,1
-0.1404127914634536,1,15,0
1.5535687336957988,1,15,0
0.7322443578610098,1,15,0
-0.6537405263601967,0,15,0
0.4755804904126382,0,15,0
0.6295788108816612,1,15,0
0.37291494343328957,1,15,0
-0.29441111193247654,0,15,0
0.9889082253093814,1,15,0
-0.9617371672982427,1,15,0
0.7322443578610098,1,15,0
1.4509031867164504,1,15,0
-0.1404127914634536,1,15,0
-0.08908001797377928,0,20,0
-0.29441111193247654,1,15,0
0.7322443578610098,0,15,0
1.5022359602061246,1,15,0
1.7075670541648218,1,15,1
0.9375754518197071,1,15,0
0.5782460373919869,1,15,0
-0.08908001797377928,1,32,0
1.7075670541648218,1,15,0
2.1182292420822164,0,15,0
-0.6537405263601967,0,15,0
0.37291494343328957,1,15,0
-0.6537405263601967,1,34,0
-0.6537405263601967,0,15,0
1.245572092757753,1,15,0
0.4242477169229639,1,15,0
-0.19174556495312792,0,15,0
2.323560336040914,0,15,0
1.7588998276544963,1,15,0
0.013585529005569358,0,15,0
0.06491830249524368,0,15,0
0.7835771313506842,1,15,0
-0.29441111193247654,1,15,0
1.8615653746338447,1,15,0
1.245572092757753,0,15,0
1.4509031867164504,0,15,0
-0.3457438854221509,1,15,1
0.8862426783300328,1,15,0
0.11625107598491799,1,15,0
0.9889082253093814,0,15,0
-0.4484094324014995,0,15,0
1.6562342806751476,0,15,1
1.2969048662474274,1,15,0
0.013585529005569358,1,15,0
-0.29441111193247654,1,15,0
0.7835771313506842,0,15,0
2.066896468592542,1,15,1
-0.3457438854221509,0,15,0
-1.0130699407879171,1,15,0
0.27024939645394097,1,15,0
0.16758384947459232,1,20,0
1.5535687336957988,1,15,0
0.16758384947459232,1,15,0
0.6809115843713355,1,15,0
0.7835771313506842,1,26,0
-0.3970766589118252,1,26,0
0.7835771313506842,1,26,0
-0.6024077528705225,1,26,0
-0.6537405263601967,0,26,0
0.6809115843713355,0,26,0
-0.8077388468292197,1,26,0
-0.6537405263601967,1,26,0
-0.19174556495312792,1,26,0
0.9889082253093814,0,26,0
0.8862426783300328,0,9,0
-0.6537405263601967,1,26,0
2.1182292420822164,1,26,0
1.399570413226776,0,26,0
1.8615653746338447,1,26,0
1.7588998276544963,1,26,0
1.8102326011441705,1,26,0
-1.0644027142775914,1,26,0
1.9642309216131935,0,26,0
1.8102326011441705,0,26,0
2.220894789061565,1,26,0
-0.29441111193247654,1,26,0
0.9375754518197071,1,26,0
-0.037747244484104964,1,26,0
1.09157377228873,1,26,0
-0.3457438854221509,1,26,0
0.5782460373919869,1,26,0
1.5022359602061246,0,26,0
-0.8077388468292197,0,26,0
1.2969048662474274,1,9,0
0.7322443578610098,1,26,0
0.8862426783300328,1,26,0
